timestamp,event_type,side,price,quantity_change
1767731500886795,orderbook_update,no,36,-20
1767731500891863,orderbook_update,no,37,200
1767731500900671,orderbook_update,yes,60,-199
1767731500947293,orderbook_update,yes,41,-20
1767731500956714,orderbook_update,yes,61,200
1767731501066713,orderbook_update,yes,61,-200
1767731501070229,orderbook_update,no,37,200
1767731501079926,orderbook_update,no,33,-100
1767731501079926,orderbook_update,no,32,100
1767731501106347,orderbook_update,yes,61,200
1767731501117755,orderbook_update,no,37,-200
1767731501120513,orderbook_update,no,37,-200
1767731501135872,orderbook_update,yes,58,-30
1767731501136859,orderbook_update,no,35,-30
1767731501147788,orderbook_update,yes,50,5000
1767731501148716,orderbook_update,no,22,5000
1767731501152620,orderbook_update,yes,59,30
1767731501154033,orderbook_update,no,34,30
1767731501165824,orderbook_update,no,35,200
1767731501188222,orderbook_update,no,32,400
1767731501206388,orderbook_update,no,23,500
1767731501208239,orderbook_update,yes,2,-1000
1767731501208674,orderbook_update,no,2,15000
1767731501209046,orderbook_update,yes,2,-500
1767731501209940,orderbook_update,no,23,1000
1767731501215963,orderbook_update,no,36,200
1767731501216414,orderbook_update,yes,41,-400
1767731501270486,orderbook_update,yes,51,500
1767731501271739,orderbook_update,yes,51,400
1767731501273141,orderbook_update,yes,51,20
1767731501273174,orderbook_update,yes,51,1000
1767731501289294,orderbook_update,no,23,20
1767731501295415,orderbook_update,no,33,20
1767731501340685,orderbook_update,no,23,-20
1767731502086820,orderbook_update,no,36,-200
