timestamp,yes_price,no_price
1767778429778985,29.0,68.0
1767778436131418,29.0,67.0
1767778436446204,28.0,67.0
1767778436447520,31.0,67.0
1767778436470777,31.0,66.0
1767778436495336,31.0,68.0
1767778438696606,29.0,68.0
1767778438697945,29.0,65.0
1767778438697945,34.0,65.0
1767778439084687,29.0,65.0
1767778439086509,33.0,65.0
1767778440321664,33.0,63.0
1767778440321664,33.0,64.0
1767778441158251,32.0,64.0
1767778441245683,32.0,65.0
1767778441246938,31.0,65.0
1767778443288026,31.0,66.0
1767778443723822,32.0,66.0
1767778444556383,29.0,66.0
1767778444556383,29.0,68.0
1767778445204448,27.0,68.0
1767778445918231,27.0,69.0
1767778447870150,27.0,70.0
1767778448395817,26.0,70.0
1767778448533399,26.0,71.0
1767778448553816,26.0,72.0
1767778448571174,26.0,70.0
1767778448591118,26.0,73.0
1767778449253529,23.0,73.0
1767778450080632,23.0,74.0
1767778450415827,23.0,73.0
1767778450829985,22.0,73.0
1767778450936628,19.0,73.0
1767778450937611,23.0,73.0
1767778451305167,19.0,73.0
1767778451305524,22.0,73.0
1767778451306323,22.0,74.0
1767778451315833,19.0,74.0
1767778451318267,19.0,69.0
1767778451334199,20.0,69.0
1767778451335170,20.0,75.0
1767778451344725,19.0,75.0
1767778451345831,19.0,69.0
1767778451365784,19.0,71.0
1767778451368875,19.0,77.0
1767778452812246,19.0,74.0
1767778452812788,20.0,74.0
1767778452814184,20.0,76.0
1767778452942808,20.0,74.0
1767778452944719,20.0,75.0
1767778453060920,20.0,78.0
1767778453125999,19.0,78.0
1767778453128178,21.0,78.0
1767778453217651,21.0,74.0
1767778453217651,21.0,76.0
1767778453494109,22.0,76.0
1767778454353231,22.0,77.0
1767778454358972,19.0,77.0
1767778454538638,19.0,76.0
1767778454546556,20.0,76.0
1767778455077150,21.0,76.0
1767778455640733,20.0,76.0
1767778457213145,19.0,76.0
1767778457227889,19.0,77.0
1767778458997499,19.0,76.0
1767778459002281,19.0,78.0
1767778459012929,19.0,79.0
1767778459168733,17.0,79.0
1767778459168733,18.0,79.0
1767778459806535,17.0,79.0
1767778460576400,17.0,80.0
1767778460592621,17.0,79.0
1767778460595819,17.0,81.0
1767778461320281,15.0,81.0
1767778461675691,16.0,81.0
1767778461707715,15.0,81.0
1767778461763011,16.0,81.0
1767778462733321,15.0,81.0
1767778462949451,16.0,81.0
1767778462978234,15.0,81.0
1767778463013685,16.0,81.0
1767778464262024,15.0,81.0
1767778466163979,15.0,79.0
1767778466166241,15.0,82.0
1767778466263092,16.0,82.0
1767778466745250,15.0,82.0
1767778467256658,15.0,84.0
1767778468213903,14.0,84.0
1767778468777797,15.0,84.0
1767778476275058,14.0,84.0
1767778476671795,15.0,84.0
1767778476719608,14.0,84.0
1767778476760653,15.0,84.0
1767778478127955,14.0,84.0
1767778478684152,15.0,84.0
1767778478718362,14.0,84.0
1767778478753240,15.0,84.0
1767778479605637,14.0,84.0
1767778479643769,10.0,84.0
1767778479645175,15.0,84.0
1767778479870178,15.0,83.0
1767778480175313,15.0,81.0
1767778480175313,15.0,82.0
1767778482693830,14.0,82.0
1767778482695590,14.0,83.0
1767778484519934,16.0,83.0
1767778491362675,16.0,81.0
1767778491380013,16.0,83.0
1767778494248383,16.0,82.0
1767778500994241,17.0,82.0
1767778501465858,17.0,81.0
1767778501465858,18.0,81.0
1767778502205901,18.0,79.0
1767778502205901,19.0,79.0
1767778502401824,19.0,80.0
1767778505583158,17.0,80.0
1767778505583158,17.0,81.0
1767778505597990,17.0,80.0
1767778506221228,16.0,80.0
1767778506668663,16.0,83.0
1767778516586819,16.0,81.0
1767778516586819,17.0,81.0
1767778517152388,17.0,79.0
1767778517487272,17.0,81.0
1767778522269887,17.0,82.0
1767778522291527,17.0,81.0
1767778522310084,16.0,81.0
1767778522310084,16.0,83.0
1767778522518306,16.0,81.0
1767778522549286,12.0,81.0
1767778522564503,13.0,81.0
1767778529548810,12.0,81.0
1767778529549960,14.0,81.0
1767778529550824,14.0,82.0
1767778533043354,13.0,82.0
1767778533044150,13.0,81.0
1767778533047842,15.0,81.0
1767778539396404,15.0,82.0
1767778540041794,14.0,82.0
1767778549876307,13.0,82.0
1767778549876773,16.0,82.0
1767778551647665,17.0,82.0
1767778551843543,17.0,81.0
1767778551843543,18.0,81.0
1767778552217195,18.0,78.0
1767778552217195,18.0,80.0
1767778553971304,18.0,78.0
1767778553971304,18.0,79.0
1767778554194491,13.0,79.0
1767778554195488,16.0,79.0
1767778554197386,16.0,80.0
1767778555251391,16.0,81.0
1767778555445020,15.0,81.0
1767778562229909,15.0,82.0
1767778564900848,14.0,82.0
1767778565418865,14.0,83.0
1767778566665273,14.0,84.0
1767778572872805,14.0,85.0
1767778579477229,13.0,85.0
1767778581596023,12.0,85.0
1767778581597757,14.0,85.0
1767778584620528,14.0,84.0
1767778590139178,15.0,84.0
1767778590194117,13.0,84.0
1767778590209407,13.0,83.0
1767778590209407,16.0,83.0
1767778591347384,13.0,83.0
1767778591372242,12.0,83.0
1767778591372242,14.0,83.0
1767778591373720,14.0,75.0
1767778591373720,14.0,81.0
1767778591391096,16.0,81.0
1767778591405406,16.0,80.0
1767778592163883,16.0,75.0
1767778592165562,16.0,79.0
1767778592423955,16.0,81.0
1767778593134401,16.0,79.0
1767778593134401,16.0,80.0
1767778593153977,17.0,80.0
1767778594741644,17.0,79.0
1767778599065546,17.0,80.0
1767778599244108,17.0,81.0
1767778600333711,17.0,79.0
1767778600637089,17.0,80.0
1767778602392754,18.0,80.0
1767778602404366,17.0,80.0
1767778602422924,19.0,80.0
1767778602488168,19.0,79.0
1767778603041102,20.0,79.0
1767778605187030,20.0,77.0
1767778605351225,19.0,77.0
1767778605399701,19.0,79.0
1767778605633321,17.0,79.0
1767778606238346,18.0,79.0
1767778606268871,17.0,79.0
1767778606326731,18.0,79.0
1767778606356578,17.0,79.0
1767778606403862,18.0,79.0
1767778607176653,17.0,79.0
1767778608672094,17.0,80.0
1767778608982081,17.0,81.0
1767778610241946,17.0,80.0
1767778611300308,17.0,81.0
1767778613828090,15.0,81.0
1767778613828090,16.0,81.0
1767778614002951,16.0,82.0
1767778614509058,16.0,81.0
1767778615384990,16.0,82.0
