timestamp_us,yes_volume,yes_slippage,yes_bid,yes_ask,yes_spread,no_volume,no_slippage,no_bid,no_ask,no_spread,bid_sum_discrepancy,ask_sum_discrepancy
1767724316101815,152.72,10.7800,0.3200,0.3600,0.0400,118.21,8.0500,0.6400,0.6800,0.0400,0.040000,-0.040000
1767724316117041,152.72,10.7800,0.3200,0.3400,0.0200,118.21,8.0500,0.6600,0.6800,0.0200,0.020000,-0.020000
1767724316118985,152.72,10.7800,0.3300,0.3400,0.0100,118.21,8.0500,0.6600,0.6700,0.0100,0.010000,-0.010000
1767724316309148,152.72,10.7800,0.3300,0.3700,0.0400,118.21,8.0500,0.6300,0.6700,0.0400,0.040000,-0.040000
1767724316655017,152.72,10.7800,0.3200,0.3700,0.0500,118.21,8.0500,0.6300,0.6800,0.0500,0.050000,-0.050000
1767724316655017,152.72,10.7800,0.3400,0.3700,0.0300,118.21,8.0500,0.6300,0.6600,0.0300,0.030000,-0.030000
1767724317067470,156.32,10.9800,0.2600,0.3700,0.1100,118.21,8.0500,0.6300,0.7400,0.1100,0.110000,-0.110000
1767724317067470,156.32,10.9800,0.3200,0.3700,0.0500,118.21,8.0500,0.6300,0.6800,0.0500,0.050000,-0.050000
1767724317197482,156.32,10.9800,0.3200,0.3600,0.0400,118.21,8.0500,0.6400,0.6800,0.0400,0.040000,-0.040000
1767724322173726,161.00,11.5000,0.3200,0.3500,0.0300,125.01,8.4500,0.6500,0.6800,0.0300,0.030000,-0.030000
1767724322360191,161.00,11.5000,0.3200,0.3400,0.0200,125.01,8.4500,0.6600,0.6800,0.0200,0.020000,-0.020000
1767724325496716,161.00,11.5000,0.3100,0.3400,0.0300,125.01,8.4500,0.6600,0.6900,0.0300,0.030000,-0.030000
1767724328162201,161.00,11.5000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724328383490,161.00,11.5000,0.3100,0.3200,0.0100,125.01,8.4500,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724328439403,161.00,11.5000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724328524042,161.00,11.5000,0.3100,0.3200,0.0100,125.01,8.4500,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724328568970,161.00,11.5000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724328830414,161.00,11.5000,0.3100,0.3200,0.0100,125.01,8.4500,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724328882021,161.00,11.5000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724329418377,161.00,11.5000,0.3100,0.3200,0.0100,125.01,8.4500,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724329513427,161.00,11.5000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724329625191,161.00,11.5000,0.3100,0.3200,0.0100,125.01,8.4500,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724329732002,161.00,11.5000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724330397537,161.00,11.5000,0.3100,0.3200,0.0100,125.01,8.4500,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724330455968,161.00,11.5000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724330823725,161.00,11.5000,0.3100,0.3200,0.0100,125.01,8.4500,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724331093199,164.30,11.7000,0.3100,0.3300,0.0200,125.01,8.4500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724331331707,164.30,11.7000,0.3100,0.3400,0.0300,125.01,8.4500,0.6600,0.6900,0.0300,0.030000,-0.030000
1767724331400923,164.30,11.7000,0.3000,0.3400,0.0400,125.01,8.4500,0.6600,0.7000,0.0400,0.040000,-0.040000
1767724331401280,164.30,11.7000,0.3300,0.3400,0.0100,125.01,8.4500,0.6600,0.6700,0.0100,0.010000,-0.010000
1767724333109457,167.70,11.8000,0.3300,0.3500,0.0200,128.36,8.5000,0.6500,0.6700,0.0200,0.020000,-0.020000
